time,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
14.87,324.17633056640625,119.1751708984375,353.68634033203125,158.2279052734375,320.29510498046875,158.6185302734375,326.3441162109375,204.79257202148438,319.5459289550781,203.23641967773438,293.2227478027344,196.0063018798828,299.8226318359375,196.37423706054688,364.01068115234375,263.17901611328125,341.4897766113281,262.96026611328125
15.26,350.7093505859375,142.93458557128906,372.05035400390625,167.98324584960938,340.3791198730469,165.19970703125,347.8794860839844,215.3356170654297,324.2562561035156,210.58665466308594,322.88958740234375,201.99075317382812,319.2499694824219,195.25572204589844,388.4450988769531,260.3820495605469,370.5335693359375,260.5424499511719
15.66,365.0809631347656,137.75672912597656,386.16424560546875,171.84912109375,361.78668212890625,174.90968322753906,375.396240234375,217.6488037109375,362.870849609375,220.83255004882812,337.1635437011719,228.4995574951172,343.864501953125,230.44479370117188,397.663818359375,266.3457336425781,381.56036376953125,267.92950439453125
16.12,364.69757080078125,133.2664794921875,387.71795654296875,167.814697265625,357.91552734375,171.8737335205078,381.8294677734375,211.73924255371094,364.0440979003906,219.681640625,341.8165588378906,227.02174377441406,342.27764892578125,230.32772827148438,394.7416076660156,266.1954345703125,374.8616027832031,267.3628845214844
16.55,346.7387390136719,137.03604125976562,377.2763671875,166.7070770263672,354.148193359375,167.85879516601562,370.4175109863281,220.01220703125,353.253662109375,216.666748046875,327.73077392578125,233.24423217773438,331.1733093261719,225.996826171875,393.1025085449219,260.26239013671875,380.33953857421875,259.8095397949219
16.99,262.17138671875,168.58932495117188,304.5556335449219,184.99246215820312,293.3856201171875,177.67535400390625,286.9884338378906,235.19000244140625,312.0232849121094,238.74276733398438,254.36244201660156,258.23809814453125,292.2607116699219,283.47894287109375,374.5743713378906,273.163330078125,370.29913330078125,269.3946838378906
17.45,208.03945922851562,173.567138671875,269.42767333984375,168.41909790039062,240.05677795410156,183.1479034423828,252.58328247070312,160.36407470703125,202.86070251464844,196.96487426757812,220.6517333984375,90.24246215820312,168.27175903320312,145.23904418945312,327.61224365234375,269.0092468261719,309.88214111328125,274.7961730957031
17.87,211.78895568847656,163.949951171875,269.8506164550781,157.33975219726562,227.4320526123047,189.3638916015625,267.4630126953125,140.91917419433594,195.85281372070312,208.74436950683594,233.10240173339844,101.83848571777344,165.77459716796875,153.68455505371094,335.5465393066406,257.0722351074219,313.3037414550781,270.3401184082031
18.27,234.86659240722656,152.0185546875,288.69244384765625,150.96115112304688,242.6788330078125,185.03323364257812,286.5083312988281,128.71710205078125,194.12005615234375,206.67677307128906,251.8773956298828,79.43934631347656,176.32736206054688,148.8826141357422,330.4423522949219,266.61737060546875,304.2257080078125,279.6385498046875
18.71,294.5345458984375,136.89483642578125,330.41973876953125,174.03515625,278.89251708984375,183.60537719726562,349.4414978027344,226.28173828125,269.3309326171875,247.68861389160156,291.677001953125,213.88662719726562,268.4927062988281,233.757568359375,337.6951599121094,266.9122009277344,310.3163146972656,268.3472595214844
19.1,355.8570556640625,141.12478637695312,381.9682312011719,170.47842407226562,357.1372375488281,173.191650390625,376.9617614746094,215.51876831054688,355.7442321777344,217.93544006347656,337.9828796386719,205.58486938476562,335.4120788574219,205.54177856445312,387.66156005859375,258.87353515625,375.4932861328125,258.392822265625
19.5,366.7803649902344,130.44778442382812,390.6055908203125,166.541748046875,371.1978454589844,167.874755859375,382.45306396484375,217.2274169921875,370.94195556640625,220.6781005859375,348.9537048339844,245.2745361328125,351.7493591308594,246.29391479492188,403.0343017578125,256.664794921875,390.3342590332031,257.0042419433594
19.92,363.4234313964844,133.2050018310547,392.10626220703125,167.93841552734375,371.5815124511719,169.7673797607422,386.9831237792969,220.72193908691406,376.6645812988281,223.08648681640625,355.05084228515625,245.58413696289062,356.3744201660156,242.39053344726562,405.1824645996094,261.7076416015625,391.56207275390625,262.38287353515625
20.29,348.77178955078125,143.52099609375,374.3041687011719,169.95004272460938,368.06939697265625,174.1011505126953,368.4862365722656,220.12994384765625,366.09014892578125,225.6793975830078,336.3751220703125,215.4956512451172,337.86846923828125,217.7324676513672,395.8948059082031,255.79440307617188,392.6377868652344,255.75930786132812
20.72,290.5597229003906,180.11045837402344,338.69390869140625,182.18092346191406,312.4608459472656,188.5670166015625,330.05865478515625,226.48007202148438,310.5996398925781,236.64639282226562,296.421142578125,238.01937866210938,298.4718322753906,242.55972290039062,374.7972412109375,268.1241760253906,361.843017578125,270.3458557128906
21.15,274.41986083984375,159.77928161621094,313.5050354003906,167.30259704589844,275.8608703613281,191.0366973876953,332.98150634765625,170.1787109375,299.5710144042969,198.74891662597656,333.4478454589844,138.05477905273438,322.03289794921875,152.3132781982422,351.40509033203125,258.8555908203125,326.2639465332031,269.8652648925781
21.58,270.9422912597656,148.15301513671875,309.9489440917969,163.29010009765625,262.386962890625,183.04257202148438,358.3616943359375,172.70828247070312,286.51422119140625,198.14794921875,351.20294189453125,152.26239013671875,310.3619079589844,159.16397094726562,340.38714599609375,260.6573791503906,311.9010925292969,269.6483154296875
21.96,267.34295654296875,148.0535888671875,313.60888671875,157.6871337890625,262.12738037109375,178.93362426757812,358.32769775390625,178.96649169921875,279.9898986816406,202.7963409423828,347.95849609375,155.3841552734375,308.4989013671875,152.23733520507812,338.44317626953125,259.070068359375,305.4961242675781,268.634521484375
22.35,266.82049560546875,148.29177856445312,312.9138488769531,154.46023559570312,262.6557312011719,174.26907348632812,360.7449951171875,171.6902618408203,276.09930419921875,200.40280151367188,352.1860046386719,153.375,296.82196044921875,172.79693603515625,339.7608337402344,258.9211120605469,311.3104248046875,267.48095703125
22.8,259.2364501953125,151.1641845703125,311.41961669921875,160.14105224609375,262.0287170410156,176.60195922851562,357.0816345214844,178.2865753173828,281.3448486328125,198.91188049316406,348.5810241699219,156.43283081054688,306.04913330078125,158.358642578125,336.783935546875,262.52313232421875,307.0470886230469,269.5840759277344
23.17,263.380126953125,143.09034729003906,318.4406433105469,160.48443603515625,274.17022705078125,173.22445678710938,339.5803527832031,209.50384521484375,274.2381896972656,228.5828857421875,322.25311279296875,262.0448913574219,264.6678771972656,271.6335754394531,334.6810607910156,257.93341064453125,304.3834228515625,262.05792236328125
23.56,276.2425231933594,139.07730102539062,316.875244140625,162.37686157226562,311.5371398925781,164.1783447265625,307.3858337402344,214.0308074951172,304.8576965332031,220.55282592773438,284.6889343261719,237.30169677734375,284.00762939453125,239.9147186279297,345.7226257324219,258.3428955078125,342.1227722167969,258.4512023925781
23.99,331.5037536621094,147.62478637695312,361.91058349609375,173.76873779296875,356.54339599609375,171.2919921875,340.989501953125,221.57925415039062,345.7752380371094,220.17674255371094,323.2574157714844,212.66946411132812,325.8101501464844,212.84408569335938,378.2081604003906,260.0465087890625,380.0381774902344,258.51409912109375
24.38,350.680419921875,141.03298950195312,380.0028076171875,172.49722290039062,374.53369140625,171.93441772460938,371.92633056640625,223.2522430419922,374.879150390625,223.87771606445312,348.62103271484375,239.7220001220703,353.9585266113281,239.35552978515625,394.5966491699219,263.18133544921875,391.3036804199219,262.3773193359375
24.76,341.91650390625,144.2723846435547,361.9117736816406,172.37246704101562,378.7845458984375,172.7083740234375,344.6626892089844,218.7955780029297,372.0921630859375,223.00413513183594,330.17926025390625,210.69178771972656,339.8093566894531,213.36016845703125,381.8410339355469,257.8462219238281,396.4414978027344,256.91357421875
25.18,309.6255187988281,141.35940551757812,323.41644287109375,156.71046447753906,335.29827880859375,162.08311462402344,295.0469665527344,184.4093017578125,315.8593444824219,210.28981018066406,267.80072021484375,177.25086975097656,272.2660217285156,207.91751098632812,340.6081237792969,252.57920837402344,352.8087158203125,254.6983642578125
25.57,296.282470703125,143.27423095703125,322.10845947265625,164.12828063964844,315.6488342285156,161.7117919921875,295.0137023925781,175.59292602539062,289.7901916503906,176.24859619140625,272.25726318359375,149.8464813232422,270.8753967285156,158.10231018066406,320.68310546875,260.01898193359375,320.2404479980469,259.54876708984375
25.97,278.6941833496094,142.77694702148438,309.2790222167969,165.85067749023438,287.2133483886719,162.518310546875,295.0326843261719,164.4056854248047,261.2424621582031,157.98550415039062,271.4246520996094,120.71958923339844,261.1794738769531,117.36152648925781,316.69342041015625,258.6891784667969,302.1542053222656,258.9429931640625
