time,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y
42.88,332.46307373046875,345.7442321777344,313.2278137207031,346.5689392089844,384.5979919433594,193.50631713867188,302.5079040527344,202.02529907226562
43.61,333.6689453125,347.7375793457031,307.93829345703125,341.8311767578125,383.65411376953125,195.87701416015625,304.3084716796875,201.90589904785156
44.03,339.2754821777344,278.5733642578125,315.9631652832031,270.5540466308594,397.73883056640625,218.3278350830078,328.256591796875,217.02659606933594
44.73,342.53900146484375,289.8053283691406,334.5881042480469,286.8641357421875,392.54144287109375,223.85134887695312,359.1177978515625,227.88629150390625
45.15,308.25311279296875,203.5040740966797,305.9263916015625,242.39788818359375,357.164794921875,204.5809783935547,335.6137390136719,213.19259643554688
45.87,244.29483032226562,110.47355651855469,235.88690185546875,140.66555786132812,348.2919921875,183.94061279296875,300.606689453125,205.0860137939453
46.42,303.5938415527344,100.17115783691406,281.0167236328125,108.24124145507812,343.26336669921875,180.90834045410156,281.4366149902344,186.48431396484375
47.06,302.7384033203125,97.07463073730469,276.9065246582031,106.38658142089844,339.5448913574219,175.43313598632812,280.5600280761719,183.8763427734375
47.52,313.6212463378906,95.65473937988281,279.6613464355469,109.44778442382812,343.1843566894531,180.08908081054688,285.10687255859375,185.54489135742188
48.21,318.5101013183594,182.41351318359375,223.68771362304688,155.21502685546875,361.72308349609375,188.93638610839844,296.6282653808594,190.6300048828125
48.68,312.588134765625,292.81585693359375,295.9959716796875,279.2388610839844,375.2904052734375,226.58302307128906,332.95318603515625,223.5260009765625
49.31,286.8605651855469,211.05487060546875,297.1040344238281,230.81695556640625,368.6739196777344,210.510009765625,337.09649658203125,216.28497314453125
49.96,359.854736328125,152.72291564941406,240.33216857910156,105.14772033691406,366.0972900390625,182.152099609375,311.5762634277344,200.4483184814453
50.57,369.6850280761719,78.11744689941406,318.6506652832031,91.54214477539062,376.1640625,166.6894073486328,303.7219543457031,166.01785278320312
51.06,368.57501220703125,71.52513122558594,310.427978515625,92.33848571777344,379.90338134765625,164.57778930664062,303.77642822265625,161.8760986328125
51.51,339.3509521484375,77.5137939453125,301.6053466796875,74.87515258789062,387.51177978515625,166.2201385498047,319.54742431640625,180.096923828125
51.98,331.4201965332031,298.0947265625,315.0533142089844,286.4525451660156,392.99420166015625,215.55213928222656,329.5870056152344,212.40350341796875
52.47,344.5562744140625,299.8440856933594,340.9706726074219,287.9513854980469,387.206787109375,226.7301025390625,367.3050842285156,229.1956024169922
52.91,323.8855895996094,294.6739196777344,325.65277099609375,291.5895690917969,380.6940612792969,227.24685668945312,363.0161437988281,229.30361938476562
53.41,264.82354736328125,233.7307891845703,257.10589599609375,248.78912353515625,350.42681884765625,225.46737670898438,296.5392761230469,241.52151489257812
53.84,353.0561828613281,210.24122619628906,363.4460144042969,231.47958374023438,348.0090637207031,197.72927856445312,284.3330383300781,229.30372619628906
54.34,370.2782287597656,161.51596069335938,349.8910827636719,195.97119140625,347.0753479003906,196.69580078125,280.1878662109375,213.59201049804688
54.77,377.03692626953125,174.31552124023438,347.2221374511719,175.9483642578125,342.6531982421875,184.47732543945312,263.66864013671875,201.53042602539062
55.26,332.7608947753906,289.9667663574219,265.6488952636719,284.374267578125,340.3914794921875,183.10931396484375,253.17935180664062,191.01614379882812
55.72,343.6785888671875,297.18511962890625,108.07160186767578,285.4141540527344,319.42584228515625,155.0609588623047,217.11497497558594,152.02932739257812
56.18,350.9438171386719,299.77557373046875,178.40383911132812,233.23065185546875,343.79156494140625,129.44528198242188,231.2284698486328,115.41360473632812
56.67,467.24578857421875,280.55621337890625,192.45831298828125,222.71563720703125,402.7674865722656,106.00738525390625,274.5881042480469,72.03935241699219
57.12,505.8466796875,163.6441650390625,124.8699951171875,263.64324951171875,473.3752746582031,5.4405975341796875,277.44805908203125,9.224365234375
57.61,339.5848083496094,217.01181030273438,103.88334655761719,330.6323547363281,519.175537109375,0.0,292.2014465332031,0.0
